checkpoint_id,year,world_id,world_label,frequency_model_family,frequency_model_label,severity_model_family,severity_model_label,retraining_regime,seed,version,training_window_years,training_window_label,training_data_start_year,training_data_end_year,frequency_rmse,severity_rmse,pure_premium_rmse,net_strategic_value,game_effect_summary,world_narrative,frequency_model_narrative,severity_model_narrative
chk_y1_stable_baseline_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.373593,0.37509,0.374371,62.562867,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y1_stable_baseline_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.373593,0.14987,0.257257,74.274296,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_stable_baseline_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.373593,0.045354,0.202909,79.709116,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_stable_baseline_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.134401,0.37509,0.259559,74.044099,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y1_stable_baseline_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.134401,0.14987,0.142445,85.755528,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_stable_baseline_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.134401,0.045354,0.088097,91.190348,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_stable_baseline_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.023035,0.37509,0.206103,79.389656,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y1_stable_baseline_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.023035,0.14987,0.088989,91.101085,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_stable_baseline_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,stable_baseline,Stable Baseline,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.023035,0.045354,0.034641,96.535905,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_good_years_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.337275,0.340936,0.339179,66.082103,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
